nct_id,brief_summary,drug_names,preferred_drug_names
NCT00106548,"This 3 arm study will compare the safety and efficacy, with regard to reduction of signs and symptoms, of tocilizumab versus placebo, both in combination with methotrexate (MTX). in patients with moderate to severe active rheumatoid arthritis (RA) who currently have an inadequate response to MTX. Patients wil be randomized to receive tocilizumab 4mg/kg iv, tocilizumab 8mg/mg iv, or placebo iv, every 4 weeks; all patients will also receive methotrexate 10-25mg weekly. The anticipated time on study treatment is 3-12 months, and the target sample size is 500+ individuals.","['tocilizumab', 'methotrexate']","['tocilizumab', 'methotrexate']"
NCT00109408,"This 2 arm study will assess the safety and efficacy of tocilizumab monotherapy versus methotrexate in patients with active rheumatoid arthritis (RA). Patients will be randomized to receive tocilizumab 8mg/kg iv every 4 weeks plus placebo po weekly, or methotrexate 7.5-20mg po weekly plus placebo iv every 4 weeks. The anticipated time on study treatment is 3-12 months and the target sample size is 500+ individuals.","['tocilizumab', 'methotrexate']","['tocilizumab', 'methotrexate']"
NCT00109707,"The purpose of this trial is to assess the efficacy, safety, tolerability, biologic activity, and pharmacokinetics of AMN107 in six groups of patients with one of the following conditions:

Relapsed/refractory Ph+ Acute lymphoblastic leukemia (ALL) (arm 1)

Group A - Imatinib failure only (arms 2, 3 and 4)

* imatinib-resistant or intolerant CML - Chronic Phase (CP)
* imatinib-resistant or intolerant CML - Accelerated Phase (AP)
* imatinib-resistant or intolerant CML - Blast Crisis (BC)

Group B - Imatinib and other TKI failure (arms 2, 3 and 4)

* imatinib-resistant or intolerant CML - Chronic Phase (CP)
* imatinib-resistant or intolerant CML - Accelerated Phase (AP)
* imatinib-resistant or intolerant CML - Blast Crisis (BC)

Hypereosinophilic syndrome/chronic eosinophilic leukemia (HES/CEL) (arm 5)

Systemic mastocytosis (Sm) (arm 6)","['AMN107', 'imatinib']",['imatinib']
NCT00110916,"The purpose of this study is to evaluate the clinical response in subjects with symptomatic OA of the knee following a single 50 mg anakinra, 150 mg anakinra or placebo intra-articular (IA) injection.",['anakinra'],['anakinra']
NCT00111436,The purpose of this study is to evaluate the safety and tolerability of long-term administration of etanercept in adults with psoriasis who have participated in previous etanercept psoriasis studies. This study will also evaluate the maintenance of the efficacy of etanercept in adults with psoriasis who have participated in previous etanercept psoriasis studies. All subjects enrolled in this study will receive 50 mg once weekly or twice weekly (if qualified after week 12) by subcutaneous injections for at least 48 weeks and up to 72 weeks.,['etanercept'],['etanercept']
NCT00119678,"The purpose of this clinical research study is to learn whether Abatacept can treat and prevent lupus flares; specifically, in patients with active lupus flares in at least one of three organ systems: skin (discoid lesions); inflammation of the lining of the heart (pericarditis), or inflammation of the lining of the lung (pleuritis/pleurisy); or inflammation of more than 4 joints (arthritis). All participants will receive prednisone or prednisone-equivalent treatment in combination with study medication. The safety of this treatment will also be studied.","['Abatacept', 'prednisone']","['abatacept', 'prednisone']"
NCT00120523,The primary purpose of this study is to investigate the safety of pimecrolimus cream 1% in the long-term treatment (up to 5 years) of atopic dermatitis (eczema) in patients less than 12 months of age compared to topical corticosteroids (TCS).,"['pimecrolimus', 'topical corticosteroids']",['pimecrolimus']
NCT00130390,The primary objective of this study is to evaluate the efficacy and safety of nitazoxanide compared to a placebo in reducing the signs and symptoms of mild to moderate active Crohn's disease in adults.,['nitazoxanide'],['nitazoxanide']
NCT00137969,"This is a Phase II/III, randomized, double-blind, placebo-controlled, multicenter study to evaluate the efficacy and safety of rituximab compared with placebo when combined with a single stable background immunosuppressive medication in subjects with moderate to severe systemic lupus erythematosus (SLE). The primary efficacy endpoint of the trial will be evaluated at 52 weeks.",['rituximab'],['rituximab']
NCT00141921,The purpose of this study is to evaluate the long-term safety and efficacy of etanercept in pediatric patients with moderate to severe psoriasis.,['etanercept'],['etanercept']
NCT00146640,"The objective of this study is to investigate if low doses of prednisone MR formulation, given at night and, with active drug release at 2 am, are more effective in controlling joint stiffness, and other disease symptoms of rheumatoid arthritis than standard IR prednisone given in the morning.",['prednisone'],['prednisone']
NCT00171860,"The objectives of the study are:

1. Evaluation of the safety profile of imatinib mesylate in patients with idiopathic hypereosinophilic syndrome resistant or refractory to, or intolerant of, prednisone, hydroxyurea or interferon-alpha, or untreated patients carrying the Fip1L1-PDGFRA fusion protein.
2. Evaluation of the efficacy of imatinib mesylate in patients with idiopathic hypereosinophilic syndrome
3. Analysis of patient's blood samples for the detection of activated kinases.","['imatinib mesylate', 'prednisone', 'hydroxyurea', 'interferon-alpha']","['imatinib', 'prednisone', 'hydroxycarbamide']"
NCT00175877,An open ended study in which patients who completed the double-blind study CDP870-027 \[NCT00152386\] are given Certolizumab Pegol (CZP) and assessed for signs and symptoms of Rheumatoid Arthritis (RA).,"['Certolizumab Pegol', 'CZP']",['certolizumab pegol']
NCT00195663,"The purpose of the study is to assess the safety and efficacy of adalimumab in combination with methotrexate in patients with recent onset rheumatoid arthritis (RA), and to assess the long-term safety and maintenance of efficacy after treatment with adalimumab for up to 10 years.","['adalimumab', 'methotrexate']","['adalimumab', 'methotrexate']"
NCT00195702,"The purpose of the study was to assess the safety, immunogenicity, and clinical efficacy of adalimumab compared with placebo (during double-blind phase) and to to evaluate the long-term safety and maintenance of efficacy following repeated administration of adalimumab (during open-label extension phase) in patients with persistently active rheumatoid arthritis who were receiving concurrent methotrexate therapy.","['adalimumab', 'methotrexate']","['adalimumab', 'methotrexate']"
NCT00206596,The purpose of this study is to evaluate the effectiveness of Leukine to decrease the need for steroid treatment for Crohn's disease.,"['Leukine', 'steroid']",['sargramostim']
NCT00206661,The purpose of this study is to observe pediatric Crohn's Disease response to sargramostim in patients with or without steroid therapy at two possible dosage levels.,['sargramostim'],['sargramostim']
NCT00206700,The purpose of this study is to establish a safety profile sargramostim administered in 8 week cycles to adult patients with active Crohn's disease.,['sargramostim'],['sargramostim']
NCT00206713,"The purpose of this study is to evaluate whether treatment with Leukine in patients with Crohn's disease who have previously responded to Leukine can be helped again, once they have relapsed.","['Leukine', ""Crohn's disease""]",['sargramostim']
NCT00207714,"Multicenter, randomized, double-blind, placebo-controlled, 5-arm, dose-ranging study to assess the efficacy of subcutaneous injections of Golimumab (CNTO 148), 50 or 100 mg, at either 2- or 4- week intervals in subjects with active RA despite MTX therapy.","['Golimumab', 'MTX']",['golimumab']
NCT00207740,The purpose of this study is to evaluate the effectiveness and safety of CNTO 148 (golimumab) in patients with severe persistent asthma.,"['CNTO 148', 'golimumab']","['golimumab', 'golimumab']"
NCT00221026,"his study will explore the safety and activity of ECP treatment with UVADEX in inducing a clinical response (i.e., a CDAI decrease greater than or equal to 100 from baseline and/or a CDAI \< 150) over a 12-week period in moderately active Crohn's disease (CDAI greater than or equal to 220 to \< 450) patients who are refractory or intolerant to immunosuppressants and/or anti-TNF agents. This study will also assess response to continued treatment during a 12-week Extension Period in patients who have a clinical response at Week 12 of the Treatment Period and elect to participate in the Extension Period.","['UVADEX', 'immunosuppressants', 'anti-TNF agents']",[]
NCT00235820,Placebo-Controlled Study Comparing the Safety and Efficacy of Adalimumab to Methotrexate and Placebo in Subjects with Moderate to Severe Chronic Plaque Psoriasis,"['Adalimumab', 'Methotrexate']","['adalimumab', 'methotrexate']"
NCT00244842,The purpose of this study is to determine which dose of voclosporin is effective in the treatment of plaque psoriasis compared to placebo.,['voclosporin'],['voclosporin']
NCT00245570,"To determine the effect of an approved medication being studied in support of a new approach in the prevention of exercise-induced asthma (a worsening of asthma caused by exercise, also known as exercise-induced bronchospasm), in patients who have a history of worsening asthma after exercise.",['approved medication'],[]
NCT00245765,"A study to assess the safety and efficacy of 2 different doses of CDP870 versus placebo, administered during 12 weeks, to patients suffering from moderate to severe chronic plaque psoriasis, extended by a 12 to 24 week follow-up.",['CDP870'],[]
NCT00254293,The purpose of this study is to study serum levels of Abatacept after subcutaneous dosing in subjects with RA.,['Abatacept'],['abatacept']
NCT00264537,"The purpose of this study is to evaluate the efficacy and safety of golimumab, alone or in combination with methotrexate, as compared to methotrexate alone in rheumatoid arthritis subjects who have not been previously treated with methotrexate.","['golimumab', 'methotrexate']","['golimumab', 'methotrexate']"
NCT00264550,"The purpose of this study is to evaluate the efficacy and safety of golimumab, alone or in combination with methotrexate (MTX), as compared to methotrexate alone in rheumatoid arthritis (RA) patients who have active rheumatoid arthritis despite treatment with MTX.","['golimumab', 'methotrexate']","['golimumab', 'methotrexate']"
NCT00265096,"The purpose of this study is to evaluate the safety and efficacy (improvement of signs and symptoms) of subcutaneous (under the skin) injections of golimumab for the treatment of active psoriatic arthritis (PsA). Efficacy will be measured by reduction in the signs and symptoms of active PsA, including effects on joint pain and swelling, changes on x-ray related to joint damage, psoriasis skin lesions, physical function, and quality of life.",['golimumab'],['golimumab']
NCT00265122,The purpose of this study is to examine the safety and efficacy of CNTO 1275 in participants with active Crohn's Disease.,['CNTO 1275'],['ustekinumab']
NCT00266565,Toxicity of anti-IL-5,['anti-IL-5'],[]
NCT00267956,The purpose of this study is to evaluate the effectiveness and safety of CNTO 1275 (ustekinumab) in patients with psoriatic arthritis.,"['CNTO 1275', 'ustekinumab']","['ustekinumab', 'ustekinumab']"
NCT00267969,The primary purpose of this study is to evaluate the effectiveness and safety of ustekinumab (CNTO 1275) in the treatment of patients with moderate to severe plaque psoriasis.,"['ustekinumab', 'CNTO 1275']","['ustekinumab', 'ustekinumab']"
NCT00269841,The purpose of this study is to evaluate the effectiveness and safety of anti-TNF chimeric monoclonal antibody (cA2) compared to placebo in the treatment of patients with fistulizing Crohn's disease.,['anti-TNF chimeric monoclonal antibody (cA2)'],[]
NCT00269854,The purpose of this study is to evaluate the effectiveness and safety of anti-TNF chimeric monoclonal antibody (cA2) compared to placebo in patients with active Crohn's disease.,['anti-TNF chimeric monoclonal antibody (cA2)'],[]
